사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2014010100100072,2014년 1월 1일 02시,수요일,충청남도 천안시 서북구 두정동,경상사고,0,0,1,0,차대차 - 정면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,31세,상해없음,승용,남,24세,경상
2014010100100147,2014년 1월 1일 06시,수요일,충청남도 천안시 서북구 두정동,경상사고,0,0,2,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,24세,상해없음,보행자,남,19세,경상
2014010100100313,2014년 1월 1일 17시,수요일,충청남도 천안시 동남구 청당동,경상사고,0,0,4,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,53세,상해없음,승용,남,51세,경상
2014010100100383,2014년 1월 1일 20시,수요일,충청남도 천안시 서북구 성정동,중상사고,0,1,0,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,원동기,남,16세,중상
2014010200100105,2014년 1월 2일 09시,목요일,충청남도 천안시 서북구 쌍용동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,기타불명,기타불명,승합,남,48세,상해없음
2014010200100146,2014년 1월 2일 11시,목요일,충청남도 천안시 동남구 원성동,중상사고,0,2,1,0,차대차 - 측면직각충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,65세,상해없음,승용,남,56세,중상
2014010200100171,2014년 1월 2일 12시,목요일,충청남도 천안시 동남구 봉명동,경상사고,0,0,1,0,차대차 - 측면직각충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,이륜,남,58세,상해없음,승용,여,53세,경상
2014010200100277,2014년 1월 2일 16시,목요일,충청남도 천안시 동남구 봉명동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,보행자,여,13세,경상
2014010300100075,2014년 1월 3일 06시,금요일,충청남도 천안시 동남구 신방동,중상사고,0,2,0,0,차대차 - 측면직각충돌,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,17세,상해없음,승용,남,50세,상해없음
2014010300100197,2014년 1월 3일 12시,금요일,충청남도 천안시 동남구 문화동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,보행자,남,84세,사망
