사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021081100100502,2021년 8월 11일 21시,수요일,충청남도 천안시 서북구 쌍용동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,개인형이동수단(PM),남,21세,상해없음,이륜,남,17세,경상
2021081100100530,2021년 8월 11일 22시,수요일,충청남도 천안시 동남구 신방동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,39세,상해없음,보행자,여,51세,경상
2021081200100008,2021년 8월 12일 00시,목요일,충청남도 천안시 동남구 봉명동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,이륜,남,20세,경상,승용,남,18세,경상
2021081200100122,2021년 8월 12일 09시,목요일,충청남도 천안시 서북구 두정동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,64세,상해없음,보행자,여,63세,경상
2021081200100252,2021년 8월 12일 13시,목요일,충청남도 천안시 서북구 신당동,중상사고,0,1,0,0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승합,남,43세,상해없음,보행자,여,75세,중상
2021081200100384,2021년 8월 12일 17시,목요일,충청남도 천안시 동남구 용곡동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,40세,상해없음,보행자,남,12세,중상
2021081200100464,2021년 8월 12일 19시,목요일,충청남도 천안시 서북구 쌍용동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,53세,상해없음,이륜,남,22세,경상
2021081200100486,2021년 8월 12일 20시,목요일,충청남도 천안시 서북구 두정동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,젖음/습기,비,교차로 - 교차로부근,승용,여,27세,상해없음,승용,여,52세,경상
2021081200100487,2021년 8월 12일 20시,목요일,충청남도 천안시 서북구 성정동,경상사고,0,0,2,0,차대차 - 측면충돌,직진우회전진행방해,젖음/습기,비,교차로 - 교차로안,승용,여,30세,상해없음,승용,남,59세,경상
2021081200100546,2021년 8월 12일 22시,목요일,충청남도 천안시 서북구 성거읍,중상사고,0,1,0,0,차대차 - 정면충돌,신호위반,건조,맑음,교차로 - 교차로안,승합,남,38세,상해없음,승용,남,37세,중상
2021081200100547,2021년 8월 12일 22시,목요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31세,기타불명,보행자,남,42세,경상
2021081300100022,2021년 8월 13일 04시,금요일,충청남도 천안시 서북구 성거읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,26세,기타불명,사륜오토바이(ATV),남,74세,경상
2021081300100041,2021년 8월 13일 07시,금요일,충청남도 천안시 동남구 신부동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,41세,상해없음,보행자,여,69세,중상
2021081300100067,2021년 8월 13일 08시,금요일,충청남도 천안시 동남구 청당동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,26세,상해없음,승용,남,25세,경상
2021081300100258,2021년 8월 13일 14시,금요일,충청남도 천안시 서북구 부대동,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,58세,상해없음,승용,여,27세,경상
2021081300100563,2021년 8월 13일 22시,금요일,충청남도 천안시 서북구 두정동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,20세,상해없음,보행자,여,21세,경상
2021081300100582,2021년 8월 13일 23시,금요일,충청남도 천안시 동남구 신부동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,23세,상해없음,보행자,남,44세,경상
2021081400100068,2021년 8월 14일 08시,토요일,충청남도 천안시 서북구 두정동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,28세,상해없음,개인형이동수단(PM),여,26세,경상
