번호,관리기관명(필수),도로명주소(필수),주소(선택),설치목적구분(필수),위도(필수),경도(필수),카메라 대수(필수),카메라화소수(선택),촬영방면정보(선택),보관일수(선택),설치연월(선택),관리기관전화번호(선택),데이터기준일자(필수),관리번호(임의),카메라명(임의),설치목적구분상세(임의),"개소별
대역폭(임의)",통신망(임의)
30,천안시,,충청남도 천안시 동남구 봉명동 255,,36.816183,127.132022,4,,,,,,,E13P002-11,E13P002-11_1_봉명동 255(개목공원)_PTZ,방범(도시공원),-,CCTV 자가망
31,천안시,,충청남도 천안시 동남구 봉명동 492,,36.811858,127.131295,3,,,,,,,E13P003-13,E13P003-13_1_봉명동 492(봉명3공원)_PTZ,방범(도시공원),-,CCTV 자가망
32,천안시,,충청남도 천안시 동남구 봉명동 425,,36.813131,127.133401,4,,,,,,,E13P004-13,E13P004-13_1_봉명동 425(봉명5공원)_PTZ,방범(도시공원),-,CCTV 자가망
33,천안시,,충청남도 천안시 동남구 봉명동 102-10,,36.811432,127.130843,4,,,,,,,E13P157-15,E13P157-15_1_봉명동 102-10(쌍용공원)_PTZ,방범(도시공원),-,CCTV 자가망
34,천안시,,충청남도 천안시 동남구 다가동 5-52,,36.796618,127.150438,3,,,,,,,E14C123-19,E14C123-19_1_다가동 5-52(천안천 어린이공원 경계)_PTZ,방범(도시공원),10M,KT
35,천안시,,충청남도 천안시 동남구 다가동 377-1,,36.799411,127.135735,3,,,,,,,E14P001-11,E14P001-11_1_다가동 377-1(다가2공원)_PTZ,방범(도시공원),10M,LG
36,천안시,,충청남도 천안시 동남구 다가동 391-1,,36.800123,127.141116,3,,,,,,,E14P002-12,E14P002-12_1_다가동 391-1(다가1공원)_PTZ,방범(도시공원),10M,LG
37,천안시,,충청남도 천안시 동남구 다가동 409-9,,36.797943,127.138171,3,,,,,,,E14P003-11,E14P003-11_1_다가동 409-9(다가3공원)_PTZ,방범(도시공원),10M,LG
38,천안시,,충청남도 천안시 동남구 용곡동 581,,36.791255,127.135988,3,,,,,,,E14P004-13,E14P004-13_1_용곡동 581(용곡6공원)_PTZ,방범(도시공원),10M,KT
39,천안시,,충청남도 천안시 동남구 용곡동 601,,36.79266,127.139104,4,,,,,,,E14P005-13,E14P005-13_1_용곡동 601(용곡1공원)_PTZ,방범(도시공원),10M,KT
40,천안시,,충청남도 천안시 동남구 다가동 462-58,,36.794881,127.149469,4,,,,,,,E14P006-13,E14P006-13_1_다가동 462-58(천안천공원)_PTZ,방범(도시공원),10M,KT
41,천안시,,충청남도 천안시 동남구 용곡동 585,,36.782295,127.139295,1,,,,,,,E14P007-14,E14P007-14_1_용곡동 585(용곡8공원)_PTZ,방범(도시공원),10M,LG
42,천안시,,충청남도 천안시 동남구 용곡동 586,,36.781767,127.13689,1,,,,,,,E14P008-14,E14P008-14_1_용곡동 586(용곡9공원)_PTZ,방범(도시공원),10M,LG
43,천안시,,충청남도 천안시 동남구 용곡동 598,,36.786247,127.132551,3,,,,,,,E14P009-14,E14P009-14_1_용곡동 598(용곡4공원)_PTZ,방범(도시공원),10M,KT
44,천안시,,충청남도 천안시 동남구 용곡동 474-5,,36.793222,127.134267,3,,,,,,,E14P011-17,E14P011-17_1_용곡동 474-5(일봉산터널위)_PTZ,방범(도시공원),10M,LG
45,천안시,,충청남도 천안시 동남구 다가동 460-12,,36.795133,127.137574,3,,,,,,,E14P012-17,E14P012-17_1_다가동 460-12(일봉산공원정자),방범(도시공원),10M,KT
46,천안시,,충청남도 천안시 동남구 다가동 460-12,,36.795391,127.136372,2,,,,,,,E14P013-17,E14P013-17_1_다가동 460-12(일봉산공원체육시설)_PTZ,방범(도시공원),10M,KT
47,천안시,,충청남도 천안시 동남구 용곡동 324-15,,36.79421,127.14368,3,,,,,,,E14P018-19,E14P018-19_1_용곡동 324-15(어린이놀이터)_PTZ,방범(도시공원),10M,KT
48,천안시,,충청남도 천안시 동남구 다가동 6-11,,36.797027,127.149399,4,,,,,,,E14P025-16,E14P025-16_1_다가동 6-11(천안천공원1)_PTZ,방범(도시공원),10M,KT
49,천안시,,충청남도 천안시 동남구 용곡동 476-30,,36.789225,127.134631,4,,,,,,,E14P030-16,E14P030-16_1_용곡동 476-30(일봉산공원입구_천안용곡초등학교방향),방범(도시공원),10M,LG
50,천안시,,충청남도 천안시 동남구 다가동 440-29,,36.79675,127.135566,3,,,,,,,E14P134-15,E14P134-15_1_다가동 440-29(일봉산도시자연공원1),방범(도시공원),10M,KT
51,천안시,,충청남도 천안시 동남구 다가동 460-8,,36.796385,127.138005,2,,,,,,,E14P135-15,E14P135-15_1_다가동 460-8(일봉산도시자연공원2),방범(도시공원),10M,KT
52,천안시,,충청남도 천안시 동남구 신방동 1894,,36.772294,127.133054,3,,,,,,,E15C006-14,E15C006-14_1_신방동 1894(중앙공원)_PTZ,방범(도시공원),10M,KT
53,천안시,,충청남도 천안시 동남구 신방동 919,,36.786497,127.126497,3,,,,,,,E15P001-13,E15P001-13_1_신방동 919(신방1공원)_PTZ,방범(도시공원),10M,KT
54,천안시,,충청남도 천안시 동남구 신방동 906,,36.790057,127.130828,4,,,,,,,E15P002-13,E15P002-13_1_신방동 906(용곡2공원)_PTZ,방범(도시공원),10M,KT
55,천안시,,충청남도 천안시 동남구 신방동 898,,36.79158,127.12952,4,,,,,,,E15P003-13,E15P003-13_1_신방동 898(신방3공원)_PTZ,방범(도시공원),10M,KT
56,천안시,,충청남도 천안시 동남구 신방동 1765,,36.774049,127.137028,4,,,,,,,E15P004-13,E15P004-13_1_신방동 1765(해오름공원)_PTZ,방범(도시공원),10M,KT
57,천안시,,충청남도 천안시 동남구 신방동 945,,36.779675,127.130728,3,,,,,,,E15P004-16,E15P004-16_1_신방동 945(건강공원1)_PTZ,방범(도시공원),10M,KT
58,천안시,,충청남도 천안시 동남구 신방동 845-63,,36.779714,127.130025,4,,,,,,,E15P005-12,E15P005-12_1_신방동 845-63(신방통정지구)_PTZ,방범(도시공원),10M,LG
59,천안시,,충청남도 천안시 동남구 신방동 945,,36.777025,127.137114,3,,,,,,,E15P005-16,E15P005-16_1_신방동 945(건강공원2)_PTZ,방범(도시공원),10M,KT
60,천안시,,충청남도 천안시 동남구 신방동 896,,36.792957,127.131677,4,,,,,,,E15P006-13,E15P006-13_1_신방동 896(신방2공원)_PTZ,방범(도시공원),10M,KT
61,천안시,,충청남도 천안시 동남구 신방동 945,,36.777844,127.13345,2,,,,,,,E15P006-16,E15P006-16_1_신방동 945(건강공원3)_PTZ,방범(도시공원),10M,KT
62,천안시,,충청남도 천안시 동남구 신방동 912,,36.788167,127.130727,4,,,,,,,E15P007-13,E15P007-13_1_신방동 912(용곡3공원)_PTZ,방범(도시공원),10M,KT
63,천안시,,충청남도 천안시 동남구 신방동 945,,36.777205,127.13593,3,,,,,,,E15P007-16,E15P007-16_1_신방동 945(건강공원4)_PTZ,방범(도시공원),10M,KT
64,천안시,,충청남도 천안시 동남구 신방동 1924,,36.769915,127.131376,3,,,,,,,E15P008-13,E15P008-13_1_신방동 1924(꽃내음공원)_PTZ,방범(도시공원),10M,KT
65,천안시,,충청남도 천안시 동남구 신방동 1392,,36.772544,127.129105,4,,,,,,,E15P010-14,E15P010-14_1_신방동 1392(명문유치원)_PTZ,방범(도시공원),10M,LG
66,천안시,,충청남도 천안시 동남구 신방동 1600,,36.776274,127.136932,2,,,,,,,E15P011-14,E15P011-14_1_신방동 1600(무지개공원)_PTZ,방범(도시공원),10M,KT
67,천안시,,충청남도 천안시 동남구 신방동 1073,,36.777309,127.130354,1,,,,,,,E15P012-14,E15P012-14_1_신방동 1073(소리공원)_PTZ,방범(도시공원),10M,LG
68,천안시,,충청남도 천안시 동남구 신방동 1894,,36.772726,127.134021,4,,,,,,,E15P013-14,E15P013-14_1_신방동 1894(신방체육공원)_PTZ,방범(도시공원),10M,KT
69,천안시,,충청남도 천안시 동남구 신방동 1521,,36.774803,127.131232,1,,,,,,,E15P014-14,E15P014-14_1_신방동 1521(신방문화공원)_PTZ,방범(도시공원),10M,KT
70,천안시,,충청남도 천안시 동남구 청당동 120-8,,36.777804,127.154023,3,,,,,,,E16P001-13,E16P001-13_1_청당동 120-8(청당2공원)_PTZ,방범(도시공원),10M,KT
71,천안시,,충청남도 천안시 동남구 청수동 226-6,,36.792546,127.151086,2,,,,,,,E16P001-18,E16P001-18_1_청수동 226-6(청수공원입구)_PTZ,방범(도시공원),10M,KT
72,천안시,,충청남도 천안시 동남구 청당동 142-9,,36.780144,127.155615,4,,,,,,,E16P002-13,E16P002-13_1_청당동 142-9(청당1공원)_PTZ,방범(도시공원),10M,KT
73,천안시,,충청남도 천안시 동남구 청수동 214-64,,36.792141,127.152719,3,,,,,,,E16P002-20,E16P002-20_1_청수동 214-64(청수산림공원 배드민턴장)_PTZ,방범(도시공원),10M,KT
74,천안시,,충청남도 천안시 동남구 청당동 437,,36.780041,127.142576,4,,,,,,,E16P003-13,E16P003-13_1_청당동 437(청당4공원)_PTZ,방범(도시공원),10M,KT
75,천안시,,충청남도 천안시 동남구 청수동 330,,36.788308,127.153295,3,,,,,,,E16P004-13,E16P004-13_1_청수동 330(청수1공원)_PTZ,방범(도시공원),10M,KT
76,천안시,,충청남도 천안시 동남구 청수동 264,,36.789911,127.156065,3,,,,,,,E16P005-12,E16P005-12_1_청수동 264(청수동구성2공원)_PTZ,방범(도시공원),10M,LG
77,천안시,,충청남도 천안시 동남구 구성동 436-3,,36.79748,127.162051,3,,,,,,,E16P006-11,E16P006-11_1_구성동 436-3(구성1공원)_PTZ,방범(도시공원),10M,LG
78,천안시,,충청남도 천안시 동남구 청당동 651,,36.785425,127.160038,2,,,,,,,E16P007-14,E16P007-14_1_청당동 651(청당5공원)_PTZ,방범(도시공원),10M,LG
79,천안시,,충청남도 천안시 동남구 청당동 776,,36.78323,127.160632,1,,,,,,,E16P008-14,E16P008-14_1_청당동 776(청당6공원)_PTZ,방범(도시공원),10M,LG
80,천안시,,충청남도 천안시 동남구 청당동 870,,36.782343,127.162455,1,,,,,,,E16P009-14,E16P009-14_1_청당동 870(청당7공원)_PTZ,방범(도시공원),10M,LG
81,천안시,,충청남도 천안시 동남구 청수동 270,,36.787065,127.150026,2,,,,,,,E16P010-14,E16P010-14_1_청수동 270(청수2공원1),방범(도시공원),-,청수동 자가망
82,천안시,,충청남도 천안시 동남구 구성동 산36-2,,36.796711,127.169003,3,,,,,,,E16P010-19,E16P010-19_1_구성동 산 36-2(구성산림공원)_PTZ,방범(도시공원),10M,KT
83,천안시,,충청남도 천안시 동남구 청수동 270,,36.787334,127.150172,2,,,,,,,E16P011-14,E16P011-14_1_청수동 270(청수2공원2)_PTZ,방범(도시공원),-,청수동 자가망
84,천안시,,충청남도 천안시 동남구 청당동 474,,36.78862,127.155489,2,,,,,,,E16P012-14,E16P012-14_1_청당동 474(청당1공원)_PTZ,방범(도시공원),10M,KT
85,천안시,,충청남도 천안시 동남구 청당동 546,,36.781901,127.157475,3,,,,,,,E16P013-14,E16P013-14_1_청당동 546(청당2공원)_PTZ,방범(도시공원),10M,KT
86,천안시,,충청남도 천안시 동남구 청당동 602,,36.788797,127.156156,2,,,,,,,E16P014-14,E16P014-14_1_청당동 602(청당3공원)_PTZ,방범(도시공원),10M,KT
87,천안시,,충청남도 천안시 동남구 청당동 608,,36.790178,127.159489,2,,,,,,,E16P015-14,E16P015-14_1_청당동 608(청당4공원_천안삼거리초등학교방향),방범(도시공원),10M,KT
88,천안시,,충청남도 천안시 동남구 삼용동 292-1,,36.784881,127.165902,1,,,,,,,E16P139-15,E16P139-15_1_삼용동 292-1(삼거리공원1)_PTZ,방범(도시공원),10M,KT
89,천안시,,충청남도 천안시 동남구 삼용동 292-1,,36.783873,127.16656,1,,,,,,,E16P140-15,E16P140-15_1_삼용동 292-1(삼거리공원2)_PTZ,방범(도시공원),10M,KT
90,천안시,,충청남도 천안시 동남구 삼용동 292-1,,36.782983,127.169188,1,,,,,,,E16P141-15,E16P141-15_1_삼룡동 292-1(삼거리공원3)_PTZ,방범(도시공원),10M,KT
91,천안시,,충청남도 천안시 동남구 삼용동 292-1,,36.782398,127.169535,1,,,,,,,E16P142-15,E16P142-15_1_삼용동 292-1(삼거리공원4)_PTZ,방범(도시공원),10M,KT
92,천안시,,충청남도 천안시 동남구 삼용동 292-1,,36.782733,127.170237,1,,,,,,,E16P143-15,E16P143-15_1_삼용동 292-1(삼거리공원5)_PTZ,방범(도시공원),10M,KT
93,천안시,,충청남도 천안시 동남구 삼용동 292-1,,36.783299,127.169495,1,,,,,,,E16P144-15,E16P144-15_1_삼용동 292-1(삼거리공원6)_PTZ,방범(도시공원),10M,KT
