사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018080900100153,2018년 8월 9일 09시,목요일,충청남도 천안시 동남구 광덕면,경상사고,0,0,3,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,건설기계,남,54세,상해없음,승합,남,58세,경상
2018080900100217,2018년 8월 9일 11시,목요일,충청남도 천안시 동남구 신방동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,45세,상해없음,승용,남,68세,경상
2018080900100248,2018년 8월 9일 12시,목요일,충청남도 천안시 동남구 목천읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,59세,상해없음,승용,남,45세,경상
2018080900100314,2018년 8월 9일 14시,목요일,충청남도 천안시 서북구 쌍용동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,36세,상해없음,보행자,남,7세,경상
2018080900100315,2018년 8월 9일 14시,목요일,충청남도 천안시 서북구 쌍용동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,66세,상해없음,이륜,남,80세,중상
2018080900100350,2018년 8월 9일 15시,목요일,충청남도 천안시 서북구 성정동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,승용,남,68세,경상
2018080900100470,2018년 8월 9일 18시,목요일,충청남도 천안시 서북구 쌍용동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,45세,상해없음,이륜,남,17세,중상
2018080900100592,2018년 8월 9일 22시,목요일,충청남도 천안시 서북구 성거읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,화물,남,51세,경상
2018080900100593,2018년 8월 9일 22시,목요일,충청남도 천안시 동남구 수신면,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,50세,상해없음,보행자,남,46세,중상
2018080900100623,2018년 8월 9일 23시,목요일,충청남도 천안시 서북구 두정동,중상사고,0,1,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,승용,남,28세,경상
2018081000100208,2018년 8월 10일 11시,금요일,충청남도 천안시 서북구 입장면,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,61세,상해없음,화물,남,62세,중상
2018081000100209,2018년 8월 10일 11시,금요일,충청남도 천안시 동남구 삼룡동,중상사고,0,1,0,0,차대차 - 측면충돌,차로위반,건조,맑음,교차로 - 교차로안,자전거,남,86세,중상,화물,남,64세,상해없음
2018081000100440,2018년 8월 10일 17시,금요일,충청남도 천안시 동남구 병천면,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,승용,남,41세,중상
2018081000100491,2018년 8월 10일 18시,금요일,충청남도 천안시 동남구 병천면,중상사고,0,1,0,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,41세,중상
2018081000100533,2018년 8월 10일 19시,금요일,충청남도 천안시 서북구 입장면,중상사고,0,1,0,0,차대차 - 정면충돌,중앙선침범,건조,맑음,교차로 - 교차로부근,승용,남,23세,상해없음,승용,남,52세,중상
2018081000100627,2018년 8월 10일 22시,금요일,충청남도 천안시 서북구 두정동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,21세,상해없음,보행자,남,36세,경상
2018081100100153,2018년 8월 11일 09시,토요일,충청남도 천안시 동남구 성남면,경상사고,0,0,1,0,차량단독 - 전도전복 - 전도,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,17세,경상,미분류,미분류,미분류,미분류
2018081100100385,2018년 8월 11일 16시,토요일,충청남도 천안시 서북구 두정동,경상사고,0,0,3,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,22세,경상,승용,남,30세,경상
2018081100100386,2018년 8월 11일 16시,토요일,충청남도 천안시 서북구 쌍용동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,54세,상해없음,승용,여,44세,경상
2018081100100574,2018년 8월 11일 23시,토요일,충청남도 천안시 동남구 원성동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,24세,중상,승용,남,47세,상해없음
2018081200100007,2018년 8월 12일 00시,일요일,충청남도 천안시 동남구 신부동,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,35세,중상,,,,
